"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"11186","Shark Exorcist",-0.1,1.4,"Action",676,3e+05,0.328881469115192,16,38,0.516379310344828,599,71,2015,0,1160,"no","no"
"11197","Beyond the Lights: Trova la tua voce",-0.399999999999999,6.7,"Drama",14607,7e+06,0.233179886685552,71,50,0.374262805645749,5648,116,2014,0,15091,"no","no"
"11208","Jimmy Vestvood - Benvenuti in Amerika",-0.100000000000001,5.1,"Comedy",1956,5e+05,0.232769044740024,8,6,0.677868852459016,1654,84,2016,0,2440,"no","no"
"11212","Into the Ashes",-0.6,5,"Crime",1714,2e+06,0.0903508771929825,21,46,0.518653321201092,1140,98,2019,0,2198,"no","no"
"11225","Hits",0,5.8,"Comedy",1291,1e+06,0.126715092816788,20,6,0.698028169014084,1239,96,2014,0,1775,"no","no"
"11247","Rock the Kasbah",0,5.5,"Comedy",10125,1.5e+07,0.117452440033085,108,61,0.683759072485625,7254,106,2015,0,10609,"no","no"
"11259","Diario di una teenager",-0.2,6.8,"Comedy",28526,2e+06,0.248321673379973,178,101,0.487797311271975,14151,102,2015,0,29010,"no","no"
"11265","Honeymoon",0.3,5.7,"Horror",23521,1e+06,0.188090544490517,182,140,0.612830660279108,14711,87,2014,1,24005,"no","no"
"11267","Men, Women & Children",-0.2,6.6,"Comedy",29471,1.6e+07,0.263530812741887,162,96,0.560674344850609,16795,119,2014,0,29955,"no","no"
"11270","Mission Air",-0.5,4.5,"Drama",-384,5e+05,0.115942028985507,2,1,0.69,69,90,2014,0,100,"no","no"
"11272","Il ragazzo della porta accanto",-0.4,4.6,"Horror",36857,4e+06,0.275856531049251,272,163,0.500254412040385,18680,91,2015,0,37341,"no","no"
"11302","Car Dogs",0.6,5.1,"Comedy",-2,1e+06,0.0836012861736334,2,8,0.645228215767635,311,104,2016,1,482,"no","no"
"11305","Io sono vendetta",-0.4,5.3,"Action",12609,1.8e+07,0.103327877795963,50,145,0.699992362331017,9165,92,2016,0,13093,"no","no"
"11306","Beautiful Something",0.0999999999999996,6.3,"Drama",333,4e+05,0.0827338129496403,11,18,0.680538555691554,556,97,2015,1,817,"no","no"
"11311","Incarnate: Non potrai nasconderti",-0.2,5.2,"Horror",10782,5e+06,0.1760348583878,75,66,0.611130836144151,6885,87,2016,0,11266,"no","no"
"11325","Cardboard Boxer",-0.2,6.3,"Drama",2123,1e+07,0.13463687150838,9,37,0.686612965093978,1790,88,2016,0,2607,"no","no"
"11326","Risorto",-0.5,6.2,"Action",24132,2e+07,0.154804489946959,139,198,0.658677283067923,16214,107,2016,0,24616,"no","no"
"11331","It Follows",0.5,6.9,"Horror",202815,1e+06,0.296863967759082,431,1008,0.620027644012022,126051,100,2014,1,203299,"no","no"
"11336","Tra dieci anni ti sposo",0.199999999999999,6.1,"Comedy",3267,1e+06,0.251578436134046,7,22,0.54892028792322,2059,90,2014,1,3751,"no","no"
"11361","Brotherly Love",-0.899999999999999,6.2,"Drama",1199,1900000,0.235489220563847,9,27,0.358288770053476,603,89,2015,0,1683,"no","no"
"11375","Bus 657",-0.2,6.1,"Action",26722,8900000,0.176940341353933,50,105,0.704219657428508,19159,93,2015,0,27206,"no","no"
"11382","The Atticus Institute",0,5.5,"Horror",7615,1e+06,0.169909729187563,41,39,0.6155080874182,4985,83,2015,0,8099,"no","no"
"11384","Piccole donne",-0.3,7.7,"Drama",121903,4e+07,0.340604447530328,336,897,0.42364793646384,51849,135,2019,0,122387,"no","no"
"11403","The Crash - Minaccia a Wall Street",-0.4,4.1,"Crime",739,2e+07,0.0897959183673469,13,26,0.600981193785773,735,84,2017,0,1223,"no","no"
"11410","Gibby",0.2,5,"Comedy",-268,1800000,0.181034482758621,12,3,0.537037037037037,116,87,2016,1,216,"no","no"
"11429","Logan - The Wolverine",0.199999999999999,8.1,"Action",627009,9.7e+07,0.337986513347725,644,1574,0.596494303522111,374296,137,2017,1,627493,"no","no"
"11438","Annabelle",-0.0999999999999996,5.4,"Horror",136638,6500000,0.354608456407195,303,412,0.561937544668252,77054,99,2014,0,137122,"no","no"
"11449","For the Love of George",0,5.1,"Comedy",183,1200000,0.318181818181818,3,31,0.428785607196402,286,89,2018,0,667,"no","no"
"11468","Zipper",0.3,5.8,"Drama",6086,4500000,0.140310257003936,40,30,0.65738203957382,4319,112,2015,1,6570,"no","no"
"11476","Stealing Cars",-0.9,5.6,"Drama",611,1e+06,0.137434554973822,6,18,0.697716894977169,764,94,2015,0,1095,"no","no"
"11478","Badge of Honor",0.100000000000001,4.9,"Crime",571,5e+06,0.0605652759084791,8,11,0.704265402843602,743,94,2015,1,1055,"no","no"
"11507","X-Men: Apocalisse",-0.399999999999999,6.9,"Action",384403,1.78e+08,0.305514087445846,488,835,0.603920111617176,232441,144,2016,0,384887,"no","no"
"11508","Jukai - La foresta dei suicidi",-0.2,4.8,"Horror",38839,1e+07,0.256152593626425,223,220,0.546626656155431,21495,93,2016,0,39323,"no","no"
